Exact1000
 
VEHICLE
NUMBER     CAPACITY
  8           1


CUSTOMER						
CUST NO,   XCOORD,	YCOORD,      DEMAND  READY TIME DUE DATE SERVICE TIME   
						
0	55.179139	8.749196	0	0	1236	0
1	55.58866602	8.98256114	0	0	1236	0
2	56.11758898	8.77631721	0	0	1236	0
3	55.87980655	9.02069012	0	0	1236	0
4	56.46786022	10.15187434	0	0	1236	0
5	56.78868223	9.6314021	0	0	1236	0
6	55.09213876	9.41740446	0	0	1236	0
7	55.264818	9.402603	0	0	1236	0
8	57.724480	10.559290	1	0	1236	90
9	57.693410	10.490460	1	0	1236	90
10	57.693410	10.490460	1	0	1236	90
11	57.625070	10.435480	1	0	1236	90
12	57.590670	10.408510	1	0	1236	90
13	57.662010	10.465160	1	0	1236	90
14	57.723910	10.592090	1	0	1236	90
15	57.715010	10.530930	1	0	1236	90
16	57.723910	10.592090	1	0	1236	90
17	57.598300	10.410380	1	0	1236	90
18	57.715010	10.530930	1	0	1236	90
19	57.625070	10.435480	1	0	1236	90
20	57.590670	10.408510	1	0	1236	90
21	57.722720	10.542720	1	0	1236	90
22	57.722720	10.542720	1	0	1236	90
23	57.715010	10.530930	1	0	1236	90
24	57.590670	10.408510	1	0	1236	90
25	57.723910	10.592090	1	0	1236	90
26	57.722720	10.542720	1	0	1236	90
27	57.724480	10.559290	1	0	1236	90
28	57.724480	10.559290	1	0	1236	90
29	57.598300	10.410380	1	0	1236	90
30	57.662010	10.465160	1	0	1236	90
31	57.566310	10.408940	1	0	1236	90
32	57.715010	10.530930	1	0	1236	90
33	57.722720	10.542720	1	0	1236	90
34	57.598300	10.410380	1	0	1236	90
35	57.598300	10.410380	1	0	1236	90
36	57.715010	10.530930	1	0	1236	90
37	57.598300	10.410380	1	0	1236	90
38	57.722720	10.542720	1	0	1236	90
39	57.598300	10.410380	1	0	1236	90
40	57.625070	10.435480	1	0	1236	90
41	57.722720	10.542720	1	0	1236	90
42	57.566310	10.408940	1	0	1236	90
43	57.625070	10.435480	1	0	1236	90
44	57.566310	10.408940	1	0	1236	90
45	57.625070	10.435480	1	0	1236	90
46	57.715010	10.530930	1	0	1236	90
47	57.566310	10.408940	1	0	1236	90
48	57.693410	10.490460	1	0	1236	90
49	57.566310	10.408940	1	0	1236	90
50	57.722720	10.542720	1	0	1236	90
51	57.566310	10.408940	1	0	1236	90
52	57.598300	10.410380	1	0	1236	90
53	57.662010	10.465160	1	0	1236	90
54	57.715010	10.530930	1	0	1236	90
55	57.598300	10.410380	1	0	1236	90
56	57.598300	10.410380	1	0	1236	90
57	57.625070	10.435480	1	0	1236	90
58	57.724480	10.559290	1	0	1236	90
59	57.662010	10.465160	1	0	1236	90
60	57.724480	10.559290	1	0	1236	90
61	57.724480	10.559290	1	0	1236	90
62	57.693410	10.490460	1	0	1236	90
63	57.724480	10.559290	1	0	1236	90
64	57.590670	10.408510	1	0	1236	90
65	57.722720	10.542720	1	0	1236	90
66	57.693410	10.490460	1	0	1236	90
67	57.566310	10.408940	1	0	1236	90
68	57.598300	10.410380	1	0	1236	90
69	57.723910	10.592090	1	0	1236	90
70	57.590670	10.408510	1	0	1236	90
71	57.715010	10.530930	1	0	1236	90
72	57.590670	10.408510	1	0	1236	90
73	57.715010	10.530930	1	0	1236	90
74	57.723910	10.592090	1	0	1236	90
75	57.693410	10.490460	1	0	1236	90
76	57.693410	10.490460	1	0	1236	90
77	57.715010	10.530930	1	0	1236	90
78	57.693410	10.490460	1	0	1236	90
79	57.625070	10.435480	1	0	1236	90
80	57.722720	10.542720	1	0	1236	90
81	57.723910	10.592090	1	0	1236	90
82	57.693410	10.490460	1	0	1236	90
83	57.590670	10.408510	1	0	1236	90
84	57.590670	10.408510	1	0	1236	90
85	57.693410	10.490460	1	0	1236	90
86	57.590670	10.408510	1	0	1236	90
87	57.724480	10.559290	1	0	1236	90
88	57.625070	10.435480	1	0	1236	90
89	57.693410	10.490460	1	0	1236	90
90	57.590670	10.408510	1	0	1236	90
91	57.590670	10.408510	1	0	1236	90
92	57.591750	9.963380	1	0	1236	90
93	57.591470	9.966300	1	0	1236	90
94	57.591810	9.962230	1	0	1236	90
95	57.590930	9.968850	1	0	1236	90
96	57.591370	9.967060	1	0	1236	90
97	57.591200	9.967900	1	0	1236	90
98	57.591810	9.962230	1	0	1236	90
99	57.590930	9.968850	1	0	1236	90
100	57.591800	9.962520	1	0	1236	90
101	57.591810	9.962230	1	0	1236	90
102	57.591200	9.967900	1	0	1236	90
103	57.591200	9.967900	1	0	1236	90
104	57.590570	9.969820	1	0	1236	90
105	57.591810	9.962230	1	0	1236	90
106	57.591810	9.962230	1	0	1236	90
107	57.591800	9.962520	1	0	1236	90
108	57.590930	9.968850	1	0	1236	90
109	57.591620	9.965000	1	0	1236	90
110	57.590570	9.969820	1	0	1236	90
111	57.591620	9.965000	1	0	1236	90
112	57.591750	9.963380	1	0	1236	90
113	57.591370	9.967060	1	0	1236	90
114	57.590930	9.968850	1	0	1236	90
115	57.591800	9.962520	1	0	1236	90
116	57.590570	9.969820	1	0	1236	90
117	57.591750	9.963380	1	0	1236	90
118	57.591620	9.965000	1	0	1236	90
119	57.591470	9.966300	1	0	1236	90
120	57.591370	9.967060	1	0	1236	90
121	57.591810	9.962230	1	0	1236	90
122	57.591750	9.963380	1	0	1236	90
123	57.591810	9.962230	1	0	1236	90
124	57.591370	9.967060	1	0	1236	90
125	57.591800	9.962520	1	0	1236	90
126	57.591810	9.962230	1	0	1236	90
127	57.591780	9.962220	1	0	1236	90
128	57.591800	9.962520	1	0	1236	90
129	57.590570	9.969820	1	0	1236	90
130	57.591200	9.967900	1	0	1236	90
131	57.590930	9.968850	1	0	1236	90
132	57.591800	9.962520	1	0	1236	90
133	57.591620	9.965000	1	0	1236	90
134	57.591800	9.962520	1	0	1236	90
135	57.591470	9.966300	1	0	1236	90
136	57.591800	9.962520	1	0	1236	90
137	57.591810	9.962230	1	0	1236	90
138	57.591750	9.963380	1	0	1236	90
139	57.590930	9.968850	1	0	1236	90
140	57.591620	9.965000	1	0	1236	90
141	57.591750	9.963380	1	0	1236	90
142	57.590570	9.969820	1	0	1236	90
143	57.590930	9.968850	1	0	1236	90
144	57.590930	9.968850	1	0	1236	90
145	57.591370	9.967060	1	0	1236	90
146	57.591750	9.963380	1	0	1236	90
147	57.591810	9.962230	1	0	1236	90
148	57.591470	9.966300	1	0	1236	90
149	57.591780	9.962220	1	0	1236	90
150	57.591750	9.963380	1	0	1236	90
151	57.591800	9.962520	1	0	1236	90
152	57.591370	9.967060	1	0	1236	90
153	57.591780	9.962220	1	0	1236	90
154	57.591370	9.967060	1	0	1236	90
155	57.590570	9.969820	1	0	1236	90
156	57.591370	9.967060	1	0	1236	90
157	57.591620	9.965000	1	0	1236	90
158	57.590570	9.969820	1	0	1236	90
159	57.591800	9.962520	1	0	1236	90
160	57.591780	9.962220	1	0	1236	90
161	57.590930	9.968850	1	0	1236	90
162	57.590570	9.969820	1	0	1236	90
163	57.591810	9.962230	1	0	1236	90
164	57.591780	9.962220	1	0	1236	90
165	57.591750	9.963380	1	0	1236	90
166	56.408000	10.871420	1	0	1236	90
167	56.410470	10.874340	1	0	1236	90
168	56.412570	10.879580	1	0	1236	90
169	56.410470	10.874340	1	0	1236	90
170	56.412390	10.878980	1	0	1236	90
171	56.412570	10.879580	1	0	1236	90
172	56.409710	10.872760	1	0	1236	90
173	56.409060	10.872000	1	0	1236	90
174	56.412780	10.880070	1	0	1236	90
175	56.412390	10.878980	1	0	1236	90
176	56.412780	10.880070	1	0	1236	90
177	56.409060	10.872000	1	0	1236	90
178	56.409060	10.872000	1	0	1236	90
179	56.411800	10.877340	1	0	1236	90
180	56.412780	10.880070	1	0	1236	90
181	56.409710	10.872760	1	0	1236	90
182	56.412780	10.880070	1	0	1236	90
183	56.410470	10.874340	1	0	1236	90
184	56.409060	10.872000	1	0	1236	90
185	56.412700	10.880130	1	0	1236	90
186	56.409710	10.872760	1	0	1236	90
187	56.412390	10.878980	1	0	1236	90
188	56.411800	10.877340	1	0	1236	90
189	56.410470	10.874340	1	0	1236	90
190	56.409060	10.872000	1	0	1236	90
191	56.410470	10.874340	1	0	1236	90
192	56.412570	10.879580	1	0	1236	90
193	56.409060	10.872000	1	0	1236	90
194	56.409060	10.872000	1	0	1236	90
195	56.408450	10.871580	1	0	1236	90
196	56.408450	10.871580	1	0	1236	90
197	56.412570	10.879580	1	0	1236	90
198	56.412390	10.878980	1	0	1236	90
199	56.409710	10.872760	1	0	1236	90
200	56.408000	10.871420	1	0	1236	90
201	56.409710	10.872760	1	0	1236	90
202	56.408450	10.871580	1	0	1236	90
203	56.412700	10.880130	1	0	1236	90
204	56.411800	10.877340	1	0	1236	90
205	56.409060	10.872000	1	0	1236	90
206	56.411800	10.877340	1	0	1236	90
207	56.411800	10.877340	1	0	1236	90
208	56.412570	10.879580	1	0	1236	90
209	56.411800	10.877340	1	0	1236	90
210	56.412390	10.878980	1	0	1236	90
211	56.412700	10.880130	1	0	1236	90
212	56.409710	10.872760	1	0	1236	90
213	56.408000	10.871420	1	0	1236	90
214	56.410470	10.874340	1	0	1236	90
215	56.412700	10.880130	1	0	1236	90
216	56.412570	10.879580	1	0	1236	90
217	56.412390	10.878980	1	0	1236	90
218	56.411800	10.877340	1	0	1236	90
219	56.408450	10.871580	1	0	1236	90
220	56.409060	10.872000	1	0	1236	90
221	56.412570	10.879580	1	0	1236	90
222	56.409060	10.872000	1	0	1236	90
223	56.412780	10.880070	1	0	1236	90
224	56.409710	10.872760	1	0	1236	90
225	56.412780	10.880070	1	0	1236	90
226	56.408000	10.871420	1	0	1236	90
227	56.409710	10.872760	1	0	1236	90
228	56.408000	10.871420	1	0	1236	90
229	56.411800	10.877340	1	0	1236	90
230	56.412700	10.880130	1	0	1236	90
231	56.412570	10.879580	1	0	1236	90
232	56.408450	10.871580	1	0	1236	90
233	56.409710	10.872760	1	0	1236	90
234	56.408000	10.871420	1	0	1236	90
235	56.408450	10.871580	1	0	1236	90
236	56.409710	10.872760	1	0	1236	90
237	56.410470	10.874340	1	0	1236	90
238	56.410470	10.874340	1	0	1236	90
239	56.410470	10.874340	1	0	1236	90
240	56.412780	10.880070	1	0	1236	90
241	56.412570	10.879580	1	0	1236	90
242	56.412700	10.880130	1	0	1236	90
243	56.410470	10.874340	1	0	1236	90
244	56.409710	10.872760	1	0	1236	90
245	56.412700	10.880130	1	0	1236	90
246	56.409710	10.872760	1	0	1236	90
247	56.408450	10.871580	1	0	1236	90
248	56.411800	10.877340	1	0	1236	90
249	56.412700	10.880130	1	0	1236	90
250	56.412700	10.880130	1	0	1236	90
251	56.412570	10.879580	1	0	1236	90
252	56.409710	10.872760	1	0	1236	90
253	56.408450	10.871580	1	0	1236	90
254	56.412780	10.880070	1	0	1236	90
255	56.411800	10.877340	1	0	1236	90
256	56.412390	10.878980	1	0	1236	90
257	56.412780	10.880070	1	0	1236	90
258	56.411800	10.877340	1	0	1236	90
259	56.412780	10.880070	1	0	1236	90
260	56.412570	10.879580	1	0	1236	90
261	56.412390	10.878980	1	0	1236	90
262	56.412700	10.880130	1	0	1236	90
263	56.411800	10.877340	1	0	1236	90
264	56.956890	8.614700	1	0	1236	90
265	56.958790	8.646950	1	0	1236	90
266	56.955480	8.593470	1	0	1236	90
267	56.958270	8.624060	1	0	1236	90
268	56.952890	8.679320	1	0	1236	90
269	56.957890	8.602450	1	0	1236	90
270	56.955480	8.593470	1	0	1236	90
271	56.955480	8.593470	1	0	1236	90
272	56.952020	8.588200	1	0	1236	90
273	56.952020	8.588200	1	0	1236	90
274	56.952020	8.588200	1	0	1236	90
275	56.955080	8.669790	1	0	1236	90
276	56.958270	8.624060	1	0	1236	90
277	56.955480	8.593470	1	0	1236	90
278	56.960460	8.636720	1	0	1236	90
279	56.952890	8.679320	1	0	1236	90
280	56.960460	8.636720	1	0	1236	90
281	56.960460	8.636720	1	0	1236	90
282	56.957890	8.602450	1	0	1236	90
283	56.955480	8.593470	1	0	1236	90
284	56.952890	8.679320	1	0	1236	90
285	56.952890	8.688050	1	0	1236	90
286	56.956890	8.614700	1	0	1236	90
287	56.955080	8.669790	1	0	1236	90
288	56.952890	8.679320	1	0	1236	90
289	56.952890	8.688050	1	0	1236	90
290	56.952890	8.679320	1	0	1236	90
291	56.958270	8.624060	1	0	1236	90
292	56.955480	8.593470	1	0	1236	90
293	56.958790	8.646950	1	0	1236	90
294	56.952890	8.679320	1	0	1236	90
295	56.958270	8.624060	1	0	1236	90
296	56.958270	8.624060	1	0	1236	90
297	56.960460	8.636720	1	0	1236	90
298	56.956890	8.614700	1	0	1236	90
299	56.952020	8.588200	1	0	1236	90
300	56.957890	8.602450	1	0	1236	90
301	56.958790	8.646950	1	0	1236	90
302	56.958270	8.624060	1	0	1236	90
303	56.952890	8.679320	1	0	1236	90
304	56.958790	8.646950	1	0	1236	90
305	56.958270	8.624060	1	0	1236	90
306	56.958270	8.624060	1	0	1236	90
307	56.956890	8.614700	1	0	1236	90
308	56.952020	8.588200	1	0	1236	90
309	56.956890	8.614700	1	0	1236	90
310	56.955480	8.593470	1	0	1236	90
311	56.958790	8.646950	1	0	1236	90
312	56.955480	8.593470	1	0	1236	90
313	56.955480	8.593470	1	0	1236	90
314	56.952020	8.588200	1	0	1236	90
315	56.957890	8.602450	1	0	1236	90
316	56.958790	8.646950	1	0	1236	90
317	56.955080	8.669790	1	0	1236	90
318	56.955480	8.593470	1	0	1236	90
319	56.958270	8.624060	1	0	1236	90
320	56.958270	8.624060	1	0	1236	90
321	56.952890	8.679320	1	0	1236	90
322	56.960460	8.636720	1	0	1236	90
323	56.952890	8.679320	1	0	1236	90
324	56.956890	8.614700	1	0	1236	90
325	56.956890	8.614700	1	0	1236	90
326	56.960460	8.636720	1	0	1236	90
327	56.955480	8.593470	1	0	1236	90
328	56.956890	8.614700	1	0	1236	90
329	56.952890	8.679320	1	0	1236	90
330	56.958270	8.624060	1	0	1236	90
331	56.952890	8.679320	1	0	1236	90
332	56.957890	8.602450	1	0	1236	90
333	56.952890	8.679320	1	0	1236	90
334	56.960460	8.636720	1	0	1236	90
335	56.960460	8.636720	1	0	1236	90
336	56.958270	8.624060	1	0	1236	90
337	56.955480	8.593470	1	0	1236	90
338	56.956890	8.614700	1	0	1236	90
339	56.958790	8.646950	1	0	1236	90
340	56.955080	8.669790	1	0	1236	90
341	56.955080	8.669790	1	0	1236	90
342	56.955080	8.669790	1	0	1236	90
343	56.955480	8.593470	1	0	1236	90
344	56.958790	8.646950	1	0	1236	90
345	56.955480	8.593470	1	0	1236	90
346	56.952020	8.588200	1	0	1236	90
347	56.955080	8.669790	1	0	1236	90
348	56.960460	8.636720	1	0	1236	90
349	56.955080	8.669790	1	0	1236	90
350	56.958270	8.624060	1	0	1236	90
351	56.490620	8.608070	1	0	1236	90
352	56.488030	8.612240	1	0	1236	90
353	56.490620	8.608070	1	0	1236	90
354	56.490910	8.606490	1	0	1236	90
355	56.486790	8.612230	1	0	1236	90
