Mix1000
 
VEHICLE
NUMBER     CAPACITY
  8           1


CUSTOMER						
CUST NO,   XCOORD,	YCOORD,      DEMAND  READY TIME DUE DATE SERVICE TIME   
						
0	55.179139	8.749196	0	0	1236	0
1	55.58866602	8.98256114	0	0	1236	0
2	56.11758898	8.77631721	0	0	1236	0
3	55.87980655	9.02069012	0	0	1236	0
4	56.46786022	10.15187434	0	0	1236	0
5	56.78868223	9.6314021	0	0	1236	0
6	55.09213876	9.41740446	0	0	1236	0
7	55.264818	9.402603	0	0	1236	0
8	57.156656	9.519202	1	0	1236	90
9	57.590670	10.408510	1	0	1236	90
10	55.413568	9.518782	1	0	1236	90
11	57.591620	9.965000	1	0	1236	90
12	56.531996	9.787750	1	0	1236	90
13	56.409060	10.872000	1	0	1236	90
14	55.037868	9.196160	1	0	1236	90
15	56.957890	8.602450	1	0	1236	90
16	56.659641	9.269996	1	0	1236	90
17	56.486790	8.612230	1	0	1236	90
18	56.908517	9.578155	1	0	1236	90
19	56.364680	8.620360	1	0	1236	90
20	55.428202	9.126648	1	0	1236	90
21	56.132990	8.976180	1	0	1236	90
22	56.601232	9.863240	1	0	1236	90
23	55.468190	8.762000	1	0	1236	90
24	54.927435	9.102584	1	0	1236	90
25	54.935040	9.257610	1	0	1236	90
26	56.439979	10.441155	1	0	1236	90
27	56.348150	8.350700	1	0	1236	90
28	57.336238	9.795550	1	0	1236	90
29	55.618220	8.488570	1	0	1236	90
30	56.566797	10.132202	1	0	1236	90
31	57.693410	10.490460	1	0	1236	90
32	55.756070	9.113533	1	0	1236	90
33	57.591750	9.963380	1	0	1236	90
34	56.463712	10.551760	1	0	1236	90
35	56.411800	10.877340	1	0	1236	90
36	55.976644	9.725021	1	0	1236	90
37	56.957890	8.602450	1	0	1236	90
38	56.771393	9.428629	1	0	1236	90
39	56.491830	8.597680	1	0	1236	90
40	56.175527	9.498392	1	0	1236	90
41	56.361410	8.613880	1	0	1236	90
42	55.591790	9.199096	1	0	1236	90
43	56.133420	8.972880	1	0	1236	90
44	56.618845	9.414412	1	0	1236	90
45	55.468190	8.762000	1	0	1236	90
46	55.893592	10.052933	1	0	1236	90
47	54.934460	9.257490	1	0	1236	90
48	56.463379	8.732704	1	0	1236	90
49	56.343620	8.345210	1	0	1236	90
50	54.911964	9.401871	1	0	1236	90
51	55.616720	8.486390	1	0	1236	90
52	55.224984	9.173592	1	0	1236	90
53	57.693410	10.490460	1	0	1236	90
54	57.218068	10.364047	1	0	1236	90
55	57.591200	9.967900	1	0	1236	90
56	56.972107	9.764957	1	0	1236	90
57	56.411800	10.877340	1	0	1236	90
58	56.460556	10.677700	1	0	1236	90
59	56.952890	8.679320	1	0	1236	90
60	56.115199	9.028805	1	0	1236	90
61	56.491500	8.601930	1	0	1236	90
62	55.795993	9.434926	1	0	1236	90
63	56.363880	8.619940	1	0	1236	90
64	54.927435	9.102584	1	0	1236	90
65	56.133570	8.971100	1	0	1236	90
66	57.236084	10.442396	1	0	1236	90
67	55.464500	8.706870	1	0	1236	90
68	56.112321	9.769163	1	0	1236	90
69	54.934810	9.257540	1	0	1236	90
70	56.316054	10.836087	1	0	1236	90
71	56.348150	8.350700	1	0	1236	90
72	54.911964	9.401871	1	0	1236	90
73	55.617440	8.487860	1	0	1236	90
74	55.923517	8.904630	1	0	1236	90
75	57.723910	10.592090	1	0	1236	90
76	56.320068	9.786681	1	0	1236	90
77	57.591810	9.962230	1	0	1236	90
78	57.063180	8.822535	1	0	1236	90
79	56.412390	10.878980	1	0	1236	90
80	55.881307	9.497446	1	0	1236	90
81	56.958270	8.624060	1	0	1236	90
82	55.589228	8.959729	1	0	1236	90
83	56.490620	8.608070	1	0	1236	90
84	56.924083	9.897366	1	0	1236	90
85	56.364680	8.620360	1	0	1236	90
86	56.050196	10.059550	1	0	1236	90
87	56.132840	8.977710	1	0	1236	90
88	55.591790	9.199096	1	0	1236	90
89	55.468190	8.762000	1	0	1236	90
90	56.420473	10.833696	1	0	1236	90
91	54.936290	9.258140	1	0	1236	90
92	56.289543	9.430979	1	0	1236	90
93	56.344220	8.346060	1	0	1236	90
94	56.412810	10.789304	1	0	1236	90
95	55.616280	8.485140	1	0	1236	90
96	56.293781	10.552591	1	0	1236	90
97	57.566310	10.408940	1	0	1236	90
98	55.260500	8.841947	1	0	1236	90
99	57.591810	9.962230	1	0	1236	90
100	56.273534	10.564283	1	0	1236	90
101	56.408000	10.871420	1	0	1236	90
102	55.682208	9.361145	1	0	1236	90
103	56.960460	8.636720	1	0	1236	90
104	56.569273	9.566845	1	0	1236	90
105	56.490910	8.606490	1	0	1236	90
106	55.910898	9.141672	1	0	1236	90
107	56.362750	8.618770	1	0	1236	90
108	57.063110	8.996099	1	0	1236	90
109	56.133330	8.977860	1	0	1236	90
110	55.002590	8.761068	1	0	1236	90
111	55.466160	8.730690	1	0	1236	90
112	56.849536	10.021375	1	0	1236	90
113	54.933320	9.257100	1	0	1236	90
114	56.163486	9.996386	1	0	1236	90
115	56.344220	8.346060	1	0	1236	90
116	56.672629	9.663718	1	0	1236	90
117	55.616720	8.486390	1	0	1236	90
118	57.033789	8.917178	1	0	1236	90
119	57.566310	10.408940	1	0	1236	90
120	56.531996	9.787750	1	0	1236	90
121	57.591200	9.967900	1	0	1236	90
122	56.849045	9.673818	1	0	1236	90
123	56.412570	10.879580	1	0	1236	90
124	55.945146	8.830877	1	0	1236	90
125	56.952890	8.679320	1	0	1236	90
126	57.572578	10.190233	1	0	1236	90
127	56.491830	8.597680	1	0	1236	90
128	55.557863	8.960149	1	0	1236	90
129	56.363880	8.619940	1	0	1236	90
130	56.657899	9.868174	1	0	1236	90
131	56.132840	8.977710	1	0	1236	90
132	56.488200	9.190908	1	0	1236	90
133	55.468190	8.762000	1	0	1236	90
134	57.486541	9.898749	1	0	1236	90
135	54.935820	9.257940	1	0	1236	90
136	56.532086	9.077284	1	0	1236	90
137	56.345690	8.348210	1	0	1236	90
138	56.387868	10.316679	1	0	1236	90
139	55.616180	8.484240	1	0	1236	90
140	55.675175	8.457919	1	0	1236	90
141	57.598300	10.410380	1	0	1236	90
142	56.759943	8.741274	1	0	1236	90
143	57.591800	9.962520	1	0	1236	90
144	56.149718	8.498510	1	0	1236	90
145	56.412780	10.880070	1	0	1236	90
146	57.012534	8.976516	1	0	1236	90
147	56.956890	8.614700	1	0	1236	90
148	56.859084	9.801686	1	0	1236	90
149	56.489280	8.611280	1	0	1236	90
150	56.470470	9.830997	1	0	1236	90
151	56.363880	8.619940	1	0	1236	90
152	57.218068	10.364047	1	0	1236	90
153	56.133190	8.974640	1	0	1236	90
154	56.564394	9.063059	1	0	1236	90
155	55.464930	8.712740	1	0	1236	90
156	57.577429	10.402843	1	0	1236	90
157	54.935820	9.257940	1	0	1236	90
158	56.419886	10.647709	1	0	1236	90
159	56.347830	8.350470	1	0	1236	90
160	56.176157	8.431844	1	0	1236	90
161	55.618030	8.488460	1	0	1236	90
162	55.037868	9.196160	1	0	1236	90
163	57.662010	10.465160	1	0	1236	90
164	57.259644	9.610974	1	0	1236	90
165	57.591370	9.967060	1	0	1236	90
166	55.283091	9.277711	1	0	1236	90
167	56.409710	10.872760	1	0	1236	90
168	57.368734	10.139768	1	0	1236	90
169	56.956890	8.614700	1	0	1236	90
170	56.928571	8.395757	1	0	1236	90
171	56.488030	8.612240	1	0	1236	90
172	56.221327	9.816630	1	0	1236	90
173	56.361820	8.610500	1	0	1236	90
174	56.804187	10.145158	1	0	1236	90
175	56.133570	8.971100	1	0	1236	90
176	55.392516	8.933070	1	0	1236	90
177	55.466160	8.730690	1	0	1236	90
178	56.276302	8.877225	1	0	1236	90
179	54.933780	9.257250	1	0	1236	90
180	56.175321	9.521764	1	0	1236	90
181	56.347280	8.349970	1	0	1236	90
182	56.208000	9.733064	1	0	1236	90
183	55.618030	8.488460	1	0	1236	90
184	55.841606	9.032297	1	0	1236	90
185	57.723910	10.592090	1	0	1236	90
186	56.313858	8.991319	1	0	1236	90
187	57.591800	9.962520	1	0	1236	90
188	56.729690	8.930263	1	0	1236	90
189	56.412780	10.880070	1	0	1236	90
190	56.526443	8.608716	1	0	1236	90
191	56.955480	8.593470	1	0	1236	90
192	55.294578	9.618413	1	0	1236	90
193	56.489280	8.611280	1	0	1236	90
194	56.313858	8.991319	1	0	1236	90
195	56.361680	8.616310	1	0	1236	90
196	56.050579	8.551667	1	0	1236	90
197	56.133570	8.971100	1	0	1236	90
198	56.459951	10.378296	1	0	1236	90
199	55.466160	8.730690	1	0	1236	90
200	55.972579	10.261712	1	0	1236	90
201	54.932990	9.256970	1	0	1236	90
202	56.930097	9.492151	1	0	1236	90
203	56.347830	8.350470	1	0	1236	90
204	56.296893	9.509017	1	0	1236	90
205	55.616180	8.484240	1	0	1236	90
206	57.241935	9.971513	1	0	1236	90
207	57.715010	10.530930	1	0	1236	90
208	56.674757	10.286972	1	0	1236	90
209	57.590570	9.969820	1	0	1236	90
210	56.876547	9.018682	1	0	1236	90
211	56.410470	10.874340	1	0	1236	90
212	56.662975	8.722602	1	0	1236	90
213	56.957890	8.602450	1	0	1236	90
214	56.006481	9.661834	1	0	1236	90
215	56.491300	8.601540	1	0	1236	90
216	55.001652	9.392856	1	0	1236	90
217	56.365310	8.620900	1	0	1236	90
218	57.008318	8.648744	1	0	1236	90
219	56.133420	8.972880	1	0	1236	90
220	56.928410	9.040424	1	0	1236	90
221	55.466160	8.730690	1	0	1236	90
222	55.437509	9.497773	1	0	1236	90
223	54.934460	9.257490	1	0	1236	90
224	55.262626	9.555498	1	0	1236	90
225	56.344220	8.346060	1	0	1236	90
226	56.760535	9.957418	1	0	1236	90
227	55.616180	8.484240	1	0	1236	90
228	56.450633	8.962750	1	0	1236	90
229	57.566310	10.408940	1	0	1236	90
230	57.343926	10.075751	1	0	1236	90
231	57.591200	9.967900	1	0	1236	90
232	56.440717	8.805475	1	0	1236	90
233	56.410470	10.874340	1	0	1236	90
234	56.444814	8.841546	1	0	1236	90
235	56.958270	8.624060	1	0	1236	90
236	55.428648	9.384671	1	0	1236	90
237	56.489280	8.611280	1	0	1236	90
238	56.657899	9.868174	1	0	1236	90
239	56.363880	8.619940	1	0	1236	90
240	57.316624	9.975691	1	0	1236	90
241	56.133570	8.971100	1	0	1236	90
242	54.994048	9.518847	1	0	1236	90
243	55.464930	8.712740	1	0	1236	90
244	57.101401	8.855440	1	0	1236	90
245	54.934460	9.257490	1	0	1236	90
246	56.798443	10.096991	1	0	1236	90
247	56.343710	8.345330	1	0	1236	90
248	57.217602	9.693340	1	0	1236	90
249	55.617810	8.488310	1	0	1236	90
250	57.138660	9.568972	1	0	1236	90
251	57.598300	10.410380	1	0	1236	90
252	57.033619	9.558810	1	0	1236	90
253	57.590570	9.969820	1	0	1236	90
254	56.417369	9.619541	1	0	1236	90
255	56.409710	10.872760	1	0	1236	90
256	56.187840	9.573462	1	0	1236	90
257	56.958270	8.624060	1	0	1236	90
258	55.947249	9.930828	1	0	1236	90
259	56.491830	8.597680	1	0	1236	90
260	56.022763	9.684516	1	0	1236	90
261	56.362750	8.618770	1	0	1236	90
262	54.961356	9.515540	1	0	1236	90
263	56.133630	8.968230	1	0	1236	90
264	56.421091	9.017155	1	0	1236	90
265	55.464500	8.706870	1	0	1236	90
266	56.151429	9.297892	1	0	1236	90
267	54.934270	9.257460	1	0	1236	90
268	56.053459	9.735391	1	0	1236	90
269	56.347280	8.349970	1	0	1236	90
270	56.073278	10.122089	1	0	1236	90
271	55.616720	8.486390	1	0	1236	90
272	56.908517	9.578155	1	0	1236	90
273	57.590670	10.408510	1	0	1236	90
274	56.642317	9.106157	1	0	1236	90
275	57.590930	9.968850	1	0	1236	90
276	56.903586	10.027257	1	0	1236	90
277	56.412700	10.880130	1	0	1236	90
278	56.107790	9.715374	1	0	1236	90
279	56.952020	8.588200	1	0	1236	90
280	56.354803	10.706711	1	0	1236	90
281	56.490620	8.608070	1	0	1236	90
282	56.130485	8.832987	1	0	1236	90
283	56.361460	8.606170	1	0	1236	90
284	55.756070	9.113533	1	0	1236	90
285	56.133330	8.977860	1	0	1236	90
286	56.916345	9.768206	1	0	1236	90
287	55.468380	8.765760	1	0	1236	90
288	57.238166	9.790003	1	0	1236	90
289	54.933320	9.257100	1	0	1236	90
290	56.904500	10.219452	1	0	1236	90
291	56.343620	8.345210	1	0	1236	90
292	55.266198	9.099398	1	0	1236	90
293	55.616280	8.485140	1	0	1236	90
294	56.276302	8.877225	1	0	1236	90
295	57.723910	10.592090	1	0	1236	90
296	57.366286	10.122805	1	0	1236	90
297	57.591800	9.962520	1	0	1236	90
298	55.741510	9.855602	1	0	1236	90
299	56.412780	10.880070	1	0	1236	90
300	55.438609	9.404870	1	0	1236	90
301	56.952890	8.688050	1	0	1236	90
302	57.120871	9.747360	1	0	1236	90
303	56.490010	8.610060	1	0	1236	90
304	56.618363	9.048234	1	0	1236	90
305	56.361460	8.606170	1	0	1236	90
306	56.231943	9.227213	1	0	1236	90
307	56.133570	8.971100	1	0	1236	90
308	54.957014	9.086485	1	0	1236	90
309	55.464770	8.706800	1	0	1236	90
310	56.713637	8.636348	1	0	1236	90
311	54.935040	9.257610	1	0	1236	90
312	54.944175	9.448242	1	0	1236	90
313	56.345320	8.347660	1	0	1236	90
314	55.183133	8.831211	1	0	1236	90
315	55.617440	8.487860	1	0	1236	90
316	57.582194	10.369858	1	0	1236	90
317	57.625070	10.435480	1	0	1236	90
318	56.435162	9.534959	1	0	1236	90
319	57.591780	9.962220	1	0	1236	90
320	55.724256	8.439975	1	0	1236	90
321	56.409710	10.872760	1	0	1236	90
322	56.412810	10.789304	1	0	1236	90
323	56.958790	8.646950	1	0	1236	90
324	55.074640	8.887554	1	0	1236	90
325	56.491500	8.601930	1	0	1236	90
326	55.496992	9.039190	1	0	1236	90
327	56.362750	8.618770	1	0	1236	90
328	55.704828	8.319162	1	0	1236	90
329	56.133330	8.977860	1	0	1236	90
330	56.660555	9.050702	1	0	1236	90
331	55.464770	8.706800	1	0	1236	90
332	57.184424	9.893247	1	0	1236	90
333	54.935820	9.257940	1	0	1236	90
334	56.026228	9.151065	1	0	1236	90
335	56.347280	8.349970	1	0	1236	90
336	57.033619	9.558810	1	0	1236	90
337	55.618220	8.488570	1	0	1236	90
338	56.293143	9.431639	1	0	1236	90
339	57.625070	10.435480	1	0	1236	90
340	56.578378	8.233845	1	0	1236	90
341	57.591750	9.963380	1	0	1236	90
342	56.231943	9.227213	1	0	1236	90
343	56.410470	10.874340	1	0	1236	90
344	56.190741	8.661226	1	0	1236	90
345	56.957890	8.602450	1	0	1236	90
346	55.795993	9.434926	1	0	1236	90
347	56.486790	8.612230	1	0	1236	90
348	56.574259	9.032383	1	0	1236	90
349	56.363880	8.619940	1	0	1236	90
350	56.363855	10.130185	1	0	1236	90
351	56.133200	8.974870	1	0	1236	90
352	55.438609	9.404870	1	0	1236	90
353	55.464500	8.706870	1	0	1236	90
354	56.276617	9.367263	1	0	1236	90
355	54.935820	9.257940	1	0	1236	90
